,tloss_e,vloss_e,rloss_e,zloss_e,val_auc,tr_auc
0,2.942622661590576,,1.1855510473251343,0,0.863869652590033,
1,3.0093069076538086,,1.205610990524292,0,0.863869652590033,
2,3.0360560417175293,,1.216418743133545,0,0.863869652590033,
3,3.052816867828369,,1.2339590787887573,0,0.863869652590033,
4,3.048875331878662,,1.229008674621582,0,0.863869652590033,
5,3.122745990753174,,1.2534136772155762,0,0.863869652590033,
6,3.0777361392974854,,1.2400965690612793,0,0.863869652590033,
7,3.1103715896606445,,1.247758388519287,0,0.863869652590033,
8,3.1218199729919434,,1.2519190311431885,0,0.863869652590033,
9,3.162578821182251,,1.2667090892791748,0,0.863869652590033,
10,3.1489815711975098,,1.2679471969604492,0,0.863869652590033,
11,3.152836322784424,,1.2659279108047485,0,0.863869652590033,
12,3.1349973678588867,,1.2661430835723877,0,0.863869652590033,
13,3.1494903564453125,,1.2596404552459717,0,0.863869652590033,
14,3.0951626300811768,,1.2491801977157593,0,0.863869652590033,
15,3.145230293273926,,1.2749378681182861,0,0.863869652590033,
16,3.1486825942993164,,1.273954153060913,0,0.863869652590033,
17,3.1561484336853027,,1.2647712230682373,0,0.863869652590033,
18,3.1685128211975098,,1.2769027948379517,0,0.863869652590033,
19,3.171210289001465,,1.276794195175171,0,0.863869652590033,
20,3.141456365585327,,1.270256757736206,0,0.863869652590033,
21,3.1729013919830322,,1.2733757495880127,0,0.863869652590033,
22,3.1508045196533203,,1.2724863290786743,0,0.863869652590033,
23,3.147617816925049,,1.2630032300949097,0,0.863869652590033,
24,3.1548495292663574,,1.274661898612976,0,0.863869652590033,
25,3.1704726219177246,,1.2694940567016602,0,0.863869652590033,
26,3.136850357055664,,1.263776183128357,0,0.863869652590033,
27,3.133061408996582,,1.2635960578918457,0,0.863869652590033,
28,3.188032627105713,,1.2859327793121338,0,0.863869652590033,
29,3.1635379791259766,,1.2762378454208374,0,0.863869652590033,
30,3.1105809211730957,,1.249738335609436,0,0.863869652590033,
31,3.179325580596924,,1.274052381515503,0,0.863869652590033,
32,3.155214786529541,,1.2687134742736816,0,0.863869652590033,
33,3.145247220993042,,1.2713158130645752,0,0.863869652590033,
34,3.1501851081848145,,1.265678882598877,0,0.863869652590033,
35,3.1311521530151367,,1.2618485689163208,0,0.863869652590033,
36,3.1149911880493164,,1.2536801099777222,0,0.863869652590033,
37,3.1480844020843506,,1.266814947128296,0,0.863869652590033,
38,3.1294867992401123,,1.260696291923523,0,0.863869652590033,
39,3.161151885986328,,1.2776774168014526,0,0.863869652590033,
